M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before populate SSF data: M=1545.72mb, Malloc-M=452mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  populate SSF data: M=1545.72mb, Malloc-M=452mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: before DumpGateCountStats : M=1545.72mb, Malloc-M=452mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  DumpGateCountStats : M=1545.72mb, Malloc-M=452mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: before ModuleDesignPropagation : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  ModuleDesignPropagation : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: before sim build substep: M=1546.81mb, Malloc-M=463mb, Available-M=700mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  sim build substep: M=1554.64mb, Malloc-M=471mb, Available-M=693mb, T=0s CPU=0.01s W=(2023-11-26 02:16:25)
STATS:: before sim run substep: M=1554.64mb, Malloc-M=471mb, Available-M=693mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  sim run substep: M=1558.54mb, Malloc-M=475mb, Available-M=690mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: before sim_save_reset : M=1558.6mb, Malloc-M=475mb, Available-M=690mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  sim_save_reset : M=1568.27mb, Malloc-M=463mb, Available-M=681mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: before Check: check_fv : M=1568.27mb, Malloc-M=463mb, Available-M=681mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   before Check: BuildFormal : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   before Check: Init : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   after  Check: Init : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   before Check: ResetSetup : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   after  Check: ResetSetup : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
